UniqueCount	AmbigCount
2291	0
143	0
2283	0
692	0
636	0
791	0
2914	0
1141	0
1026	0
1208	0
5	0
1326	0
1467	0
1187	0
663	0
1930	0
2231	0
770	0
1082	0
1589	0
877	0
1341	0
816	0
2224	0
859	0
390	0
1946	0
2613	0
1145	0
2008	0
2889	0
1314	0
47	0
1214	0
1533	0
1445	0
392	0
1747	0
1642	0
632	0
2490	0
477	0
2119	0
650	0
1388	0
2312	0
2336	0
221	0
205	0
1377	0
1725	0
738	0
1191	0
1464	0
335	0
1518	0
469	0
1932	0
3789	0
766	0
1549	0
800	0
121	0
1001	0
460	0
2440	0
1140	0
1449	0
347	0
883	0
1017	0
803	0
561	0
1307	0
1268	0
443	0
887	0
999	0
430	0
1546	0
3453	0
701	0
1302	0
149	0
544	0
1435	0
2327	0
1136	0
1298	0
2026	0
2256	0
288	0
8390	0
356	0
959	0
237	0
1087	0
1170	0
1098	0
1610	0
1279	0
1518	0
360	0
1417	0
1550	0
854	0
3551	0
917	0
462	0
1139	0
477	0
1959	0
1714	0
1489	0
1629	0
671	0
795	0
795	0
405	0
1314	0
643	0
648	0
1893	0
1752	0
1527	0
720	0
1803	0
1374	0
1319	0
3517	0
953	0
3500	0
3853	0
1282	0
1870	0
3090	0
592	0
1010	0
313	0
594	0
1499	0
454	0
1966	0
735	0
1647	0
1295	0
1537	0
2148	0
474	0
1350	0
106	0
3721	0
706	0
887	0
1909	0
2007	0
388	0
730	0
891	0
4224	0
1835	0
485	0
4332	0
710	0
1348	0
255	0
1596	0
2142	0
267	0
0	0
1826	0
1613	0
6498	0
3132	0
1254	0
1670	0
1507	0
4615	0
307	0
2267	0
977	0
547	0
1226	0
1339	0
958	0
471	0
651	0
1268	0
959	0
1402	0
1734	0
560	0
1057	0
648	0
3421	0
513	0
100	0
824	0
1583	0
682	0
332	0
352	0
973	0
38	0
485	0
1221	0
739	0
925	0
621	0
3124	0
987	0
3948	0
123	0
1204	0
3346	0
2043	0
168	0
1188	0
439	0
179	0
2075	0
3249	0
478	0
1439	0
1239	0
730	0
1045	0
765	0
1973	0
311	0
288	0
1373	0
