UniqueCount	AmbigCount
2237	0
50	0
2844	0
702	0
1028	0
736	0
3240	0
1097	0
1138	0
1483	0
10	0
1438	0
1856	0
1041	0
611	0
2188	0
2225	0
985	0
1220	0
1240	0
750	0
2142	0
507	0
1138	0
672	0
1015	0
2129	0
2591	0
965	0
2007	0
3017	0
1866	0
31	0
994	0
1676	0
1508	0
415	0
1326	0
1244	0
431	0
2304	0
561	0
2268	0
511	0
1622	0
2074	0
2723	0
274	0
214	0
1464	0
2275	0
558	0
1216	0
1253	0
197	0
1382	0
427	0
2173	0
3554	0
315	0
1454	0
874	0
154	0
901	0
675	0
2417	0
1209	0
1622	0
356	0
856	0
657	0
894	0
911	0
1953	0
1336	0
865	0
913	0
1186	0
299	0
1441	0
3751	0
916	0
1972	0
115	0
816	0
1389	0
2137	0
1041	0
1763	0
2976	0
1959	0
248	0
10129	0
404	0
567	0
572	0
1365	0
930	0
1479	0
1999	0
1579	0
1458	0
448	0
964	0
1303	0
782	0
4091	0
648	0
790	0
872	0
421	0
1441	0
2215	0
1050	0
1457	0
622	0
1712	0
763	0
401	0
1506	0
552	0
944	0
2771	0
2183	0
1976	0
696	0
2193	0
1118	0
1235	0
3440	0
1157	0
3588	0
3751	0
1745	0
1696	0
4711	0
193	0
1206	0
285	0
778	0
1333	0
841	0
2321	0
752	0
1928	0
920	0
2368	0
2797	0
880	0
1535	0
3	0
4668	0
475	0
827	0
2291	0
1760	0
102	0
877	0
903	0
4863	0
2094	0
449	0
4068	0
784	0
1582	0
434	0
1532	0
1888	0
429	0
0	0
2390	0
1622	0
6952	0
2903	0
752	0
2337	0
1486	0
6269	0
532	0
2467	0
585	0
1566	0
1286	0
1365	0
1047	0
731	0
928	0
1831	0
930	0
1152	0
1624	0
803	0
1364	0
749	0
3280	0
446	0
209	0
771	0
1851	0
893	0
335	0
413	0
1227	0
1	0
383	0
1329	0
547	0
760	0
668	0
3485	0
484	0
4100	0
1	0
1431	0
4767	0
1831	0
183	0
822	0
1157	0
102	0
2130	0
3488	0
484	0
2505	0
1234	0
1170	0
700	0
684	0
2232	0
223	0
191	0
1813	0
1247	0
774	0
1368	0
1663	0
558	0
1978	0
375	0
2855	0
1207	0
95	0
1289	0
1301	0
618	0
587	0
399	0
484	0
983	0
463	0
551	0
1147	0
423	0
618	0
1085	0
1	0
1126	0
820	0
543	0
284	0
1291	0
1117	0
2263	0
494	0
1594	0
780	0
872	0
1303	0
4230	0
3055	0
